movieId,peopleId
734,p_10823
671,p_194
671,p_10978
671,p_1923
671,p_10980
671,p_10989
671,p_10990
740,p_2387
740,p_6968
740,p_1327
740,p_4587
740,p_10696
740,p_11006
740,p_10690
740,p_11008
740,p_1248
740,p_10697
740,p_10428
740,p_11022
740,p_11023
740,p_11024
742,p_6003
742,p_6283
742,p_11038
742,p_11039
742,p_11040
742,p_11041
742,p_11042
742,p_11043
742,p_11044
742,p_11045
742,p_11046
742,p_11047
742,p_6004
742,p_11048
742,p_11049
742,p_11050
742,p_11051
742,p_11052
763,p_11332
763,p_11333
763,p_11334
763,p_11335
763,p_11336
763,p_11337
763,p_11338
763,p_11340
763,p_11341
763,p_11342
777,p_11544
777,p_11545
777,p_11546
777,p_8630
777,p_11547
777,p_11548
777,p_11549
777,p_11550
777,p_11551
777,p_11543
777,p_4121
784,p_11682
784,p_11683
784,p_11684
784,p_11685
784,p_11686
789,p_11731
789,p_11732
789,p_11733
789,p_11734
789,p_11735
789,p_11736
789,p_11737
789,p_11738
789,p_11739
789,p_11740
789,p_11741
789,p_11742
789,p_11743
807,p_287
807,p_192
807,p_12052
807,p_1979
811,p_6905
811,p_12121
811,p_12122
811,p_12123
811,p_12124
811,p_12125
811,p_12126
827,p_12266
827,p_2569
827,p_12267
827,p_2566
827,p_12268
827,p_12269
827,p_12270
827,p_12271
827,p_12272
827,p_12273
827,p_12274
827,p_11219
827,p_12275
832,p_2094
832,p_12322
832,p_12323
832,p_12324
832,p_79
832,p_12325
832,p_12326
834,p_3967
834,p_100
834,p_2220
834,p_937
834,p_2440
834,p_978
246,p_3317
246,p_13275
246,p_13276
246,p_13277
246,p_13278
246,p_13280
246,p_13281
246,p_13282
246,p_13283
722,p_7633
722,p_12950
722,p_12951
722,p_10430
722,p_7210
722,p_13419
722,p_13420
722,p_13421
722,p_13422
722,p_13423
722,p_13424
722,p_13425
722,p_2716
722,p_2954
880,p_13506
880,p_13507
880,p_13508
880,p_13509
880,p_13510
880,p_13511
880,p_13512
880,p_13513
880,p_13514
880,p_13515
880,p_13516
880,p_13517
880,p_13518
880,p_13519
723,p_10279
723,p_13625
723,p_13627
723,p_13629
723,p_13630
723,p_13631
723,p_13632
723,p_13634
723,p_10285
723,p_13639
723,p_13646
723,p_10280
723,p_11990
723,p_13648
723,p_13649
723,p_13650
377,p_13652
377,p_11163
377,p_13656
377,p_13657
377,p_12826
377,p_117660
377,p_7401
377,p_13661
377,p_13662
895,p_8475
895,p_13706
895,p_8477
895,p_13707
895,p_13708
895,p_13709
895,p_13710
895,p_244827
895,p_13712
895,p_13713
895,p_13714
895,p_13715
931,p_1666
931,p_6353
931,p_14146
931,p_14147
931,p_14148
931,p_14149
931,p_14150
931,p_14151
931,p_14152
931,p_14153
931,p_14154
931,p_14155
931,p_14156
931,p_14157
934,p_14242
934,p_11937
934,p_14243
934,p_14244
934,p_5963
934,p_14245
934,p_14246
934,p_14247
934,p_14227
935,p_12446
935,p_862
935,p_3088
935,p_14253
935,p_4966
935,p_6600
935,p_14254
935,p_12485
938,p_190
938,p_4078
938,p_14276
938,p_14277
938,p_14278
938,p_5814
938,p_14280
938,p_4661
962,p_13848
962,p_14434
962,p_14435
962,p_14437
962,p_14438
962,p_14439
979,p_8771
979,p_1925
979,p_14606
979,p_14610
979,p_5444
979,p_14611
979,p_14612
979,p_14613
1018,p_3489
1018,p_15007
1018,p_15008
1018,p_6486
1018,p_15009
1018,p_5694
1018,p_15010
1018,p_15011
1018,p_15012
1018,p_15013
1018,p_9306
1023,p_1019
1023,p_4455
1023,p_4458
1023,p_15085
1023,p_1018
1023,p_15086
1023,p_15087
1023,p_15088
1050,p_15168
1050,p_15169
1050,p_15170
1050,p_15171
1050,p_15172
1050,p_15173
1050,p_15174
1075,p_15264
1075,p_116770
1075,p_15266
1075,p_15267
1075,p_15268
1075,p_15269
1075,p_15270
1075,p_15271
1075,p_15272
1075,p_15273
1093,p_14812
1093,p_15395
1093,p_12274
1093,p_15396
1093,p_15397
1093,p_15398
1093,p_15399
1093,p_15400
1093,p_15401
1093,p_15402
1093,p_15403
1115,p_2339
1115,p_15480
1115,p_11953
1115,p_15481
1115,p_15482
1115,p_15483
1115,p_6087
1115,p_15484
1115,p_15485
1115,p_15486
515,p_15796
928,p_16170
928,p_16171
928,p_5589
928,p_10360
928,p_16180
928,p_113
928,p_16181
928,p_2718
928,p_16182
928,p_16183
928,p_16103
928,p_7210
928,p_16184
928,p_16185
928,p_16186
1277,p_16239
1277,p_1084
1277,p_14633
1277,p_16240
1277,p_16241
1277,p_16242
1277,p_16243
1277,p_16244
1277,p_16245
1277,p_16246
1277,p_16247
1277,p_16248
1277,p_16249
1277,p_16250
1277,p_16251
1280,p_16283
1280,p_16284
1280,p_16285
1280,p_16286
1280,p_16287
1280,p_16288
1280,p_16289
1280,p_16290
1280,p_16291
1280,p_16292
298,p_1461
298,p_287
298,p_1892
298,p_1158
298,p_1897
298,p_1271
298,p_1893
298,p_1894
298,p_1895
298,p_1896
298,p_1900
298,p_4497
298,p_827
298,p_6913
298,p_1926
298,p_1925
298,p_16302
298,p_16303
515,p_15863
515,p_11794
515,p_16423
515,p_15891
1364,p_3627
1364,p_16441
1364,p_16442
1364,p_16443
1364,p_3623
1364,p_16444
1364,p_16445
1364,p_1610
1368,p_16483
1368,p_16554
1368,p_6197
1368,p_16555
1368,p_16556
1368,p_16557
1368,p_15824
1368,p_16558
1368,p_16559
1368,p_16560
