movieId,peopleId
10920,p_21694
10235,p_9603
10974,p_64438
10974,p_26724
10975,p_64438
10998,p_7270
10997,p_65282
10995,p_2352
11011,p_18281
11024,p_1215
10951,p_65934
11048,p_67924
11083,p_56377
11104,p_12453
11069,p_26479
11075,p_17282
10748,p_56711
10748,p_21677
11156,p_48583
11160,p_67924
11174,p_19684
11178,p_63429
11180,p_608
11190,p_68519
11197,p_29605
11216,p_65314
11230,p_18899
11239,p_68707
11351,p_56349
11361,p_32813
11378,p_5763
11411,p_64508
11198,p_67217
11423,p_21684
11441,p_67971
11441,p_67972
11451,p_7312
11488,p_69583
11502,p_3556
11506,p_6648
11516,p_20030
11523,p_69719
11576,p_4081
11577,p_7767
11578,p_39058
11583,p_4782
11602,p_6648
11606,p_69991
11621,p_608
11624,p_1243
11630,p_716
11153,p_1524
11634,p_11037
11635,p_57535
11636,p_70109
11645,p_5026
11596,p_5140
11677,p_49625
10775,p_65994
11689,p_56033
11699,p_6818
11712,p_5026
11713,p_70333
11770,p_57607
11825,p_14995
11832,p_70636
11647,p_65994
11647,p_66718
11868,p_29662
11902,p_15254
11907,p_18969
11909,p_11401
11895,p_14987
11936,p_4415
11956,p_17520
11972,p_39058
12094,p_56578
11917,p_2679
12112,p_71307
12118,p_41720
12122,p_11770
12139,p_14692
12140,p_12180
12205,p_26875
12417,p_72144
12429,p_608
12477,p_628
12485,p_72444
12493,p_5026
12516,p_5026
12516,p_18598
11927,p_72712
12555,p_11720
12577,p_23945
12581,p_19942
12581,p_51084
12613,p_73121
12780,p_18899
12769,p_73508
12768,p_39758
12761,p_6648
12796,p_46119
12720,p_67075
12806,p_73693
12717,p_25182
12716,p_25182
12700,p_1035
12659,p_74024
12940,p_26183
13294,p_36394
13363,p_27614
13398,p_74377
13397,p_70109
13496,p_74409
14094,p_75221
14129,p_64901
14144,p_48663
14170,p_76471
14715,p_79005
15454,p_81796
15465,p_81855
14766,p_82059
14768,p_23116
15540,p_72427
15584,p_83151
15631,p_55916
15722,p_27797
15728,p_37852
15761,p_628
15868,p_74377
15879,p_84250
15879,p_84251
15996,p_21684
15998,p_73654
16179,p_85226
16205,p_65314
16324,p_85376
16324,p_85377
16430,p_56339
16726,p_85666
17003,p_74096
17041,p_25826
17041,p_76323
17184,p_85910
17184,p_85911
17216,p_85964
17319,p_25165
17322,p_86107
17343,p_86167
17351,p_18627
17591,p_7018
18646,p_15277
18895,p_12786
18929,p_37302
18930,p_150661
18949,p_88268
19103,p_16483
19370,p_59622
19370,p_88679
19370,p_14277
19370,p_88680
19477,p_88820
19496,p_10965
19518,p_89022
19641,p_30149
19813,p_10099
19890,p_1215
19943,p_1071
19966,p_5306
19994,p_89673
20107,p_69371
20295,p_10346
20677,p_90324
20852,p_20030
20852,p_90416
21048,p_90590
21065,p_90637
21103,p_90655
21104,p_21879
21108,p_12079
21256,p_366
21301,p_90965
21392,p_87252
21398,p_4955
21410,p_91181
21596,p_26182
21773,p_2419
21880,p_21737
21936,p_59521
21938,p_92021
22845,p_18969
12444,p_11343
12445,p_11343
22987,p_172
23136,p_91185
24179,p_93678
24203,p_93692
24920,p_38131
25017,p_16435
25095,p_53657
25644,p_2725
25780,p_8558
26225,p_67745
26484,p_70765
12471,p_96573
23534,p_53069
26831,p_96975
27037,p_64438
27039,p_46054
26164,p_97633
26165,p_97644
26167,p_97668
27145,p_49869
26808,p_41257
27169,p_97893
27173,p_97644
26186,p_97915
26147,p_8574
26147,p_21771
27293,p_98258
27293,p_64909
27302,p_28976
27315,p_13581
27649,p_99324
27710,p_78641
27720,p_99398
27727,p_99403
27727,p_99405
27760,p_15189
28185,p_99860
28190,p_96573
28383,p_67075
28680,p_8392
28883,p_100939
28888,p_56343
29120,p_70777
29232,p_35408
29685,p_57608
29735,p_18710
29573,p_90179
29573,p_15239
29909,p_12180
29914,p_2150
29808,p_102577
30322,p_65852
30322,p_88314
30435,p_31
30487,p_103428
30632,p_103563
30635,p_103581
30676,p_56739
30676,p_37942
30676,p_31039
30800,p_150661
30816,p_70945
31057,p_834
31060,p_83967
31083,p_86069
31091,p_21031
31254,p_3317
31366,p_19032
31507,p_5174
31547,p_106148
31584,p_10967
31712,p_72197
32809,p_96124
32977,p_71522
33003,p_13284
33097,p_46366
33142,p_107363
33223,p_55785
33245,p_55785
33362,p_11572
33569,p_16973
33608,p_56339
33608,p_185
33608,p_58159
33609,p_12180
33616,p_12180
33655,p_108328
33655,p_16136
33655,p_108329
33655,p_108330
33655,p_183
33655,p_108332
33655,p_185
33655,p_108333
33655,p_108331
33753,p_63571
33761,p_17282
33812,p_37633
33895,p_108637
33909,p_108667
33964,p_75908
34100,p_109034
34616,p_31775
34792,p_21684
35011,p_74409
33879,p_47506
35110,p_15337
35153,p_88298
35153,p_3214
35153,p_110798
35151,p_110799
35191,p_83924
35387,p_111201
35395,p_98483
35401,p_30089
35448,p_2710
35506,p_111511
35526,p_111596
35526,p_111598
35685,p_150661
35827,p_62410
